wavelength_nm,E_norm
579.04,0.88875
579.4,0.88779
579.75,0.88149
580.11,0.87735
580.46,0.87257
580.82,0.86974
581.18,0.86493
581.53,0.85606
581.89,0.85034
582.24,0.84647
582.6,0.83885
582.96,0.83221
583.31,0.82054
583.67,0.81643
584.02,0.81289
584.38,0.80579
584.73,0.80327
585.09,0.79238
585.44,0.79275
585.8,0.7836
586.16,0.77708
586.51,0.77194
586.87,0.76909
587.22,0.76134
587.58,0.76383
587.93,0.75648
588.29,0.74666
588.64,0.74847
589.0,0.73265
589.35,0.72849
589.71,0.72278
590.06,0.72169
590.42,0.71985
590.77,0.71461
591.13,0.70011
591.48,0.69699
591.84,0.68949
592.19,0.68629
592.54,0.68179
592.9,0.67986
593.25,0.67886
593.61,0.66955
593.96,0.66334
594.32,0.6536
594.67,0.65354
595.03,0.6489
595.38,0.64273
595.73,0.63095
596.09,0.63392
596.44,0.6302
596.8,0.62962
597.15,0.63844
597.51,0.62712
597.86,0.61978
598.21,0.61528
598.57,0.61432
598.92,0.60861
599.27,0.60192
599.63,0.58975
599.98,0.59782
600.34,0.59595
600.69,0.59093
601.04,0.5887
601.4,0.58471
601.75,0.5901
602.1,0.5717
602.46,0.57527
602.81,0.56688
603.16,0.5741
603.52,0.57242
603.87,0.55839
604.22,0.5556
604.58,0.55029
604.93,0.55195
605.28,0.54382
605.64,0.54126
605.99,0.54226
606.34,0.54216
606.7,0.54519
607.05,0.53624
607.4,0.53078
607.75,0.52848
608.11,0.52878
608.46,0.52553
608.81,0.52112
609.17,0.51781
609.52,0.51917
609.87,0.52139
610.22,0.5176
610.58,0.51699
610.93,0.51091
611.28,0.51076
611.63,0.50634
611.99,0.50325
612.34,0.50797
612.69,0.50188
613.04,0.49872
613.39,0.49295
613.75,0.49166
614.1,0.49102
614.45,0.49041
614.8,0.48942
615.16,0.48385
615.51,0.48326
615.86,0.48176
616.21,0.48183
616.56,0.47742
616.91,0.47653
617.27,0.47546
617.62,0.46935
617.97,0.46851
618.32,0.46318
618.67,0.46337
619.02,0.45845
619.38,0.45502
619.73,0.4524
620.08,0.44955
620.43,0.44395
620.78,0.44128
621.13,0.44071
621.48,0.43956
621.83,0.43755
622.19,0.43645
622.54,0.43183
622.89,0.43111
623.24,0.42766
623.59,0.42336
623.94,0.41975
624.29,0.41918
624.64,0.41522
624.99,0.413
625.34,0.40863
625.69,0.40585
626.05,0.40541
626.4,0.40506
626.75,0.39995
627.1,0.39745
627.45,0.38907
627.8,0.39103
